"","H1_rep1","H1_rep2","H1_rep3","H1_rep4","H9_rep1","H9_rep2","H9_rep3","DEC_rep1","DEC_rep2","EC_rep1","EC_rep2","EC_rep3","HFF_rep1","HFF_rep2","HFF_rep3","NPC_rep1","NPC_rep2","TB_rep1","TB_rep2"
"MAD2L1",996.46,1037,945,979.48,2558.02,3013,3179,1425.04,1101.2,845,755,609,368,314.97,273,1623,2408.77,375,582
"SCPEP1",538,503,514,489,1081.93,1081,1238,748,588.48,1157.16,1117,880,2564.16,2634.15,2947.38,989.97,1019.96,1620.6,2050.06
"ATG16L2",35,34,46,18,205,124.07,215.12,149,229.26,1088.32,1251.57,1429.6,246.15,248.06,202.09,818.24,494.5,682.01,509.94
"ARMC4",43.98,35,42,44,169.08,210,223,212,219.98,150,184,101.43,150,147.01,186,236,470,2,2
"CCK",12,9,15,14,5,13,7,101,353,0,0,0,1,2,4,122,41,0,0
"RNF167",1395,1364.8,1312.96,1182,2987.9,3437.34,3286.03,2669.68,3180.82,1226.84,1206.84,1238.91,1835.83,1766,1533.86,1918.93,2298.73,2179.7,2919.57
"HIST1H4H",11,15.02,13,9,4,10,12,10,6,4,0,5,26,20,12,8,9,21,29
"LOC100500938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL4A5",357.11,284.23,285,304,2096.94,1988.69,2158.14,5759.13,3996.61,5185.19,5060.68,5190.63,404.98,586.83,571.11,5317.25,4166.67,5802.1,5917.23
"ZNF404",15.93,14,12,12,83,41,53,82.1,83.16,69,87.06,76.55,95.83,105.95,100.08,133.35,134.86,83.99,93.22
"AMACR",218,197.94,188.01,186.01,390.11,517.03,440.24,361.44,350.35,568.82,605,317,233.12,272.42,235,500.23,645.52,383.13,651.75
"P2RY13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CT47A4",0.09,0,0,0,0.26,0.09,0,0,0,0,0,0,0,0,0,0,0.37,0,0
"NAA11",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DAGLB",340.35,291,312.69,254,845.92,1039.87,952.53,659.46,614.93,599.06,601.98,905.73,627.95,553.1,571.99,852.08,903.01,534,504.66
"DFNB31",66,60.07,45,57,231,152,150,141.38,180.95,33,28,76,196,163,140,1010.71,575.42,437.97,491.6
"SLC9A1",358,371,375,299,1144,1137,1351.25,1306.88,1186.41,2720.83,3290.04,4969.72,2085,2318.52,2464.87,1290.11,1371,3197.69,3839.24
"GOT1L1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"NTAN1",279.96,255.97,285,258,497,504.36,575.6,1328.97,1187,1723.95,1773.03,1679.24,1255.45,1143.04,1105.9,540.73,682,434.05,714.86
